id,entrada,primeiro,segundo,atraso,saida,usuario_id,fechado,cliente_id,tiporeceita_id,atrasoautorizado
407936,2023-05-17 12:15:58.527,True,False,False,2023-05-17 12:15:58.527,1,False,,,False
407937,2023-05-16 12:15:58.527,True,False,False,2023-05-16 12:15:58.527,1,False,,,False
407938,2023-05-15 12:15:58.527,True,False,False,2023-05-15 12:15:58.527,1,False,,,False
407939,2023-05-12 12:15:58.527,True,False,False,2023-05-12 12:15:58.527,1,False,,,False
407940,2023-05-11 12:15:58.527,True,False,False,2023-05-11 12:15:58.527,1,False,,,False
407941,2023-05-10 12:15:58.527,True,False,False,2023-05-10 12:15:58.527,1,False,,,False
407942,2023-05-09 12:15:58.527,True,False,False,2023-05-09 12:15:58.527,1,False,,,False
407943,2023-05-08 12:15:58.527,True,False,False,2023-05-08 12:15:58.527,1,False,,,False
407944,2023-05-07 12:15:58.527,True,False,False,2023-05-07 12:15:58.527,1,False,,,False
407945,2023-05-05 12:15:58.527,True,False,False,2023-05-05 12:15:58.527,1,False,,,False
407946,2023-05-04 12:15:58.527,True,False,False,2023-05-04 12:15:58.527,1,False,,,False
407947,2023-05-03 12:15:58.527,True,False,False,2023-05-03 12:15:58.527,1,False,,,False
407948,2023-05-02 12:15:58.527,True,False,False,2023-05-02 12:15:58.527,1,False,,,False
407949,2023-05-01 12:15:58.527,True,False,False,2023-05-01 12:15:58.527,1,False,,,False
407950,2023-04-30 12:15:58.527,True,False,False,2023-04-30 12:15:58.527,1,False,,,False
407951,2023-04-28 12:15:58.527,True,False,False,2023-04-28 12:15:58.527,1,False,,,False
407952,2023-04-27 12:15:58.527,True,False,False,2023-04-27 12:15:58.527,1,False,,,False
407953,2023-04-26 12:15:58.527,True,False,False,2023-04-26 12:15:58.527,1,False,,,False
407954,2023-04-25 12:15:58.527,True,False,False,2023-04-25 12:15:58.527,1,False,,,False
407955,2023-04-24 12:15:58.527,True,False,False,2023-04-24 12:15:58.527,1,False,,,False
407956,2023-04-23 12:15:58.527,True,False,False,2023-04-23 12:15:58.527,1,False,,,False
407957,2023-04-21 12:15:58.527,True,False,False,2023-04-21 12:15:58.527,1,False,,,False
407958,2023-04-20 12:15:58.527,True,False,False,2023-04-20 12:15:58.527,1,False,,,False
407959,2023-04-19 12:15:58.527,True,False,False,2023-04-19 12:15:58.527,1,False,,,False
