id,entrada,primeiro,segundo,atraso,saida,usuario,fechado,cliente_id,tipo_receita,atrasoautorizado,over_10_hours_authorization
7625,2024-05-15 18:38:53,0,0,0,2024-05-15 18:51:13,38,1,2464,6,0,0
7626,2024-05-15 18:51:21,0,0,0,2024-05-15 18:57:49,38,1,2467,6,0,0
7627,2024-05-15 19:03:50,0,0,0,2024-05-15 19:36:21,2,1,2811,21,0,1
7628,2024-05-15 19:16:28,0,0,0,2024-05-15 19:53:00,11,0,2382,21,0,0
7629,2024-05-15 19:36:26,0,0,0,2024-05-15 20:46:57,2,1,2377,21,0,1
7630,2024-05-15 19:48:17,0,0,0,2024-05-15 21:02:15,8,0,83,4,0,0
7635,2024-05-15 20:01:29,0,0,0,2024-05-15 20:48:02,64,1,83,5,0,0
7631,2024-05-15 20:34:03,0,0,0,2024-05-15 21:06:06,56,1,83,5,0,0
7632,2024-05-15 20:45:16,0,0,0,2024-05-15 21:11:30,38,1,2467,6,0,0
7637,2024-05-15 20:52:12,0,0,0,2024-05-15 22:00:20,64,1,83,5,0,0
7633,2024-05-15 21:06:11,0,0,0,2024-05-15 22:07:07,56,1,41,5,0,0
7634,2024-05-15 21:11:37,0,0,0,2024-05-15 21:57:48,38,1,2472,6,0,0
7636,2024-05-15 21:57:54,0,0,0,2024-05-15 21:58:57,38,1,83,6,0,0
7638,2024-05-15 22:01:35,0,0,0,2024-05-16 00:11:37,13,1,2748,6,0,1
7639,2024-05-16 00:11:44,0,0,0,2024-05-16 01:10:55,13,1,2382,6,0,1
7640,2024-05-16 01:11:07,0,0,0,2024-05-16 02:01:10,13,1,2536,6,0,1
7641,2024-05-16 02:01:20,0,0,0,2024-05-16 02:26:09,13,1,2788,6,0,1
7642,2024-05-16 02:26:16,0,0,0,2024-05-16 03:18:51,13,1,2857,6,0,1
7643,2024-05-16 03:18:57,0,0,0,2024-05-16 03:50:51,13,1,2858,6,0,1
7644,2024-05-16 03:22:09,0,0,0,2024-05-16 07:00:47,3,1,105,1,0,1
7645,2024-05-16 03:50:58,0,0,0,2024-05-16 04:43:54,13,1,2864,6,0,1
7646,2024-05-16 04:44:06,0,0,0,2024-05-16 06:01:58,13,1,2867,6,0,1
7647,2024-05-16 06:02:04,0,0,0,2024-05-16 06:46:34,13,1,2449,6,0,1
7648,2024-05-16 06:21:57,0,0,0,2024-05-16 12:17:34,8,1,83,4,0,0
7649,2024-05-16 06:46:55,0,0,0,2024-05-16 08:22:08,13,1,83,6,0,1
7650,2024-05-16 08:00:11,0,0,0,2024-05-16 11:23:48,3,1,2729,1,0,1
7651,2024-05-16 08:16:31,0,0,0,2024-05-16 08:57:01,5,1,83,1,0,0
7656,2024-05-16 08:27:25,0,0,0,2024-05-16 13:16:37,33,1,83,15,0,0
8996,2024-05-16 08:30:00,0,0,0,2024-05-16 11:30:00,47,0,,1,0,0
7652,2024-05-16 08:30:07,0,0,0,2024-05-16 12:05:03,54,1,2349,4,0,0
